uoa,filter1,filter2,MET001,MET002,MET003,MET004,MET005,MET006,MET007,MET008,MET009,MET010,MET011,MET012,MET013,MET014,MET015,MET016,MET017,MET018,MET019,MET020,MET021,MET022,MET023,MET024,MET025,MET026,MET027,MET028,MET029,MET030,MET031,MET032,MET033,MET034,MET035,MET036,MET037,MET038,MET039,MET040,MET041,MET042,MET043,MET044,MET045,MET046,MET047,MET048,MET049,MET062,MET063,MET064,MET050,MET051,MET052,MET053,MET054,MET055,MET056,MET057,MET058,MET065,MET066,MET067,MET059,MET060,MET061,MET068,MET069,MET070,MET071,MET072,MET073,MET074,MET075,MET076,MET077,MET078,MET079,MET080,MET081,MET082,MET083,MET084,MET085,MET086,MET087,MET088,MET089,MET090,MET091,MET092,MET093,MET094,MET095,MET096,MET097,MET098,MET099,MET100,MET101,MET102,MET103,MET104,MET105,MET106,MET107,MET108,MET109,MET110,MET111,MET112,MET113,MET114,MET115,MET116,MET117,MET118,MET121,MET119,MET122,MET120,MET123,MET124,MET125,MET126,MET127,MET137,MET128,MET129,MET130,MET131,MET132,MET133,MET134,MET135,MET136,MET138,MET139,MET140,MET141,MET142,MET143,MET144,MET145,MET146,MET147,MET148,MET149,MET151,MET152,MET153,MET150,MET154,MET155,MET156,MET157,MET158,MET159,MET160,MET161,MET162,MET163,MET164,MET165,MET166,MET167,MET168,MET169,MET170,MET171,MET172,MET182,MET183,MET184,MET185,MET186,MET187,MET188,MET189,MET173,MET174,MET175,MET176,MET177,MET178,MET179,MET180,MET181,MET190,MET191,MET192,MET193,MET194,MET195,MET196,MET198,MET197,MET199,MET200,MET201,MET202,MET203,MET204,MET205,MET206
uoa28,South,IDPs,0.47,1.37,0.09,0.05,0.08,1.22,,0.19,0.16,,,,138.85,34.12,30.05,,,,5.9,0.34,,2,0.13,,,,,,39.27,,0.09,0.11,0.08,0.1,5,0.35,0.34,0.14,0.64,0.34,0.39,,,0.29,0.8,0.07,1,,0.08,,,,0.71,0.29,0.06,20.21,0.39,,0.14,,,,,,0.1,0.67,0.66,,,0.04,0.12,0.08,,,,0.12,,,,3.3,1,9,2.22,0.16,0.74,0.37,0.33,0.15,0.31,0.94,1.77,0.62,0.53,0.84,0.83,,0.24,0.2,,,,,,0.88,,29.56,1,0,,,,,,340.68,515.5,0.63,0.53,65.37,0.13,0,,,0.34,0.77,29.55,0,,,0.6,,,,,0.93,0.24,0.08,0.75,99.8,0.06,,,0.53,,,0.93,0.34,0.31,0.12,,,,0.31,,9616.66,111239.03,16.77,,,1.27,0.77,,8.61,32.84,,0.2,0.76,,0.14,0.1,,0,0.07,0.01,0.01,0.37,1,0.99,,,,1,0.07,0.06,1,0.01,0.05,0.46,0.49,0.36,,,,0.17,0.14,0.31,0.17,,,,0,0.07,0.1,0.14,0.1,,0.42
uoa29,South,IDPs,0.34,1.4,0.08,0.02,0.1,1.73,0.13,,0.16,,,,134.57,59.84,15.23,,0.12,0.05,4.97,0.56,,5,0.12,,,,,,32.62,0.15,,0.08,0.12,0.06,5,0.37,0.39,0.15,0.75,0.35,0.38,,,0.29,0.77,0.07,1,,0.06,,,,0.63,0.28,0.14,47.1,0.38,52.54,,0.23,0.17,,,,0.15,0.61,0.77,,,0.11,0.09,0.11,,,0.04,0.11,,,,2.7,1,8,1.83,0.1,0.71,0.39,0.39,0.16,0.36,0.71,1.84,0.77,0.53,0.89,0.88,,0.09,0.2,,,,,,0.75,,26.67,1,,,,,,,267.22,379.79,0.6,0.54,33.12,,1,,,0.33,0.63,,,,,0.46,,,,,0.77,0.2,0.08,0.83,86.3,0.94,,,0.46,,0.12,0.91,0.34,0.14,0.21,0.67,,0.66,0.37,,4947.33,70893.13,15.61,0.73,0.57,1.85,0.58,,7.43,28.11,,0.17,0.65,,0.13,0.07,,1,,0.01,0.01,0.29,1,0.76,,0.98,0.85,1,0.06,0.1,1,0.01,0.03,0.45,0.53,0.36,,,,0.14,0.24,0.23,,,0.06,0.22,1,0.11,0.26,0.15,0.09,,0.06
uoa30,North,IDPs,0.4,0.71,0.09,0.05,0.08,1.43,,,0.2,,,,120.27,56.78,17.98,0.19,,,6.6,0.56,0,7,0.28,,,,,,98.83,0.18,,0.08,0.09,0.12,5,0.39,0.38,0.16,0.62,0.29,0.36,,,0.33,0.79,0.11,0,0.08,0.05,,,,0.63,0.31,0.08,54.83,0.29,69.3,,,,,,,0.16,0.78,0.68,,,0.08,0.05,0.11,,,0.14,0.05,0.21,,,2.35,1,8,2.31,0.17,0.89,0.4,0.28,0.14,0.32,0.83,1.7,0.79,0.49,0.76,0.95,,0.24,0.18,0.21,,,,,0.86,,,1,,,,,,,255.49,538.08,0.25,0.44,61.34,,1,,,0.36,0.79,31.46,,,,0.52,0.19,,,,0.73,0.25,0.08,0.87,96.9,,0,,0.53,0.1,,0.75,0.35,0.25,0.17,,,0.68,0.34,0.43,3398.02,78366.06,16.4,,0.78,2.05,0.58,,8.77,34.95,0.12,,0.71,0.17,0.05,0.11,0.08,1,,0.02,0.01,0.38,0.99,0.99,,0.81,,1,0.06,0.09,1,0.02,,0.6,0.46,0.32,,,,0.11,0.34,0.31,0.16,0.17,,,0,0.09,0.24,0.23,0.11,,0.19
uoa31,Centre,IDPs,0.32,0.87,0.25,0.17,0.04,1.75,0.09,,0.12,,,,125.3,22.93,11.59,0.21,0.16,,6.54,0.48,0,6,0.1,,,,,,54.61,0.12,,0.58,0.39,0.4,2,0.08,0.13,0.06,0.23,0.11,0.08,,,,0.22,0.11,0,,,,,,0.18,0.06,0.12,51.2,0.06,37.63,,,,,,,0.8,0.61,0.75,,,0.13,0.12,0.08,,,0.12,,,,,11.96,5,9,8.45,0.65,0.33,,0.05,0.03,0.09,0.16,6.36,0.19,,,0.12,,0.13,0.09,,,,,,0.94,,,,,,,,,,332.61,419.9,0.43,0.13,29.11,,1,0.28,,,0.24,,,,,0.59,,,,,5.62,1,0.03,0.15,12.38,,0,,0.18,,,0.23,0.1,0.21,0.25,,,,0.14,0.6,5325.03,73229.65,19.03,,,1.29,0.67,,8.05,33.47,,,0.67,0.13,0.11,0.17,0.13,0,0.08,0.01,0.01,0.38,0.99,0.85,0.92,,,1,0.04,0.06,,,0.09,0.46,0.43,0.33,,,,0.08,0.12,0.15,0.11,,,,0,0.12,0.08,0.33,0.1,,0.87
uoa32,East,Refugees,0.39,1.11,0.29,0.16,0.05,1.84,0.21,0.22,,,,,108.47,59.5,15.76,,0.1,,4.28,0.37,,4,0.31,1,,,,,48.15,0.15,0.34,0.55,0.36,0.36,2,0.1,0.09,0.04,0.1,0.05,,,,0.13,,0.12,0,,0.07,,,,0.2,0.11,0.12,63.52,0.08,,,,0.25,,,,0.61,0.71,0.76,,,0.05,0.09,0.06,,,,,,,,12.03,6,8,8.68,0.74,,0.11,0.14,0.03,0.13,0.33,6.88,0.23,0.2,,0.3,,0.23,0.21,0.21,0.33,,,,0.93,,,,,,,,,,262.94,573.58,0.7,0.15,39.87,,0,0.32,,,0.28,,0,,0.88,0.59,,0.57,,,5.08,1,0.02,0.3,34.93,,,,0.14,,0.1,0.26,0.08,0.2,0.26,0.72,0.75,0.69,0.05,,6852.79,123552.67,15.92,,0.73,2.38,0.61,0.15,7.62,32.64,0.09,0.14,0.74,,,0.05,,0,,0.03,0.01,0.4,0.89,0.88,,0.76,,1,0.04,0.06,,,,0.46,0.47,0.34,,,,0.09,0.33,0.18,,0.31,,,,0.05,0.27,0.3,0.15,,0.53
uoa33,North,IDPs,0.36,0.47,0.3,0.2,0.09,2.68,0.07,,,,,,53,63.47,34.42,,,0.14,6.55,0.69,,6,0.21,0,,,,,95.04,0.19,,0.44,0.43,0.45,2,0.09,0.05,0.06,0.26,0.06,,,,0.05,,0.13,1,,0.09,,,,0.08,0.1,0.06,30.09,0.05,,0.11,0.19,,,,,0.69,0.6,0.74,,,0.14,0.06,0.11,,,,,,,,12.09,4,10,7.21,0.74,0.12,,0.07,0.04,0.14,0.25,5.69,0.27,0.14,,0.32,,0.22,0.2,,0.21,,,,0.95,29.88,,,1,,,,,,204.43,269.96,0.54,,51.98,,0,,,,0.21,,,,0.52,0.52,0.24,0.62,,,6.9,1,0.03,0.28,30.61,,1,,,,,0.1,0.08,0.33,0.29,,0.73,,0.08,,9538.72,157997.81,18.04,0.74,0.74,2.89,0.57,,7.76,30.8,,0.2,0.66,,0.05,0.07,,1,,0.02,0.01,0.35,1,0.83,,,,1,0.02,0.08,,,,0.58,0.52,0.3,,,,0.13,0.27,0.15,,,0.17,,0,0.06,0.19,0.13,0.15,,0.58
uoa34,South,Refugees,0.42,0.89,0.29,0.14,0.04,1.79,,,0.16,,,,82.56,63.83,13.31,0.25,0.14,0.1,6.76,0.28,,3,0.25,,,,,,79.19,,,0.52,0.49,0.4,2,0.07,0.11,0.04,0.21,0.06,,,,0.06,0.18,0.13,1,0.08,0.06,,,,0.25,0.06,0.13,68.26,,,,0.19,,,,,0.79,0.64,0.56,,,0.09,0.04,0.13,,,0.09,0.05,,,,11.16,5,10,9.22,0.57,,,0.08,0.06,0.07,0.13,7,0.16,0.13,,,,0.25,0.19,0.26,,,,,0.99,,32.89,0,1,,,,,,203.81,639.78,0.48,,65.19,,0,,,0.1,0.25,20.08,,,0.72,0.45,0.1,,,,5.79,1,,0.19,16.63,,,,0.09,,0.09,0.11,0.08,0.17,0.16,0.65,,0.67,0.12,0.94,3976.6,129609.21,16.27,0.79,,2.47,0.75,0.22,8.24,38.04,0.11,,0.59,,,0.09,,1,,0.02,0.01,0.32,0.85,0.81,0.94,,,1,0.06,0.05,,,,0.47,0.52,0.31,,,,0.14,0.28,0.2,,,,,,0.04,0.2,0.13,0.05,,0.78
uoa35,North,IDPs,0.39,0.51,0.29,0.16,0.09,2.49,0.09,0.28,0.2,,,,99.38,60.78,27.09,0.18,0.08,0.11,5.33,0.61,,5,0.15,0,,,,,46.99,,,0.52,0.45,0.37,2,0.12,0.04,0.03,0.17,0.14,0.12,,,,0.22,0.1,1,0.13,,,,,0.25,0.1,0.1,61.69,,,,,,,,,0.58,0.71,0.59,,,0.05,0.09,0.13,,,0.04,,0.11,,,12.02,5,10,,0.79,0.14,,0.08,0.03,0.04,0.18,5.98,0.13,0.19,,,,0.26,0.1,,,,,,0.71,,15.19,0,0,,,,,,177.42,580.92,0.36,0.17,63.11,,1,,0.21,,0.15,,,,0.73,0.46,,,,,5.89,1,,0.28,10.28,,1,,0.19,,,0.35,0.06,0.19,0.28,0.76,,,0.04,,3402.28,159181.65,19.64,,0.7,3.06,0.6,0.27,8.98,33.34,,0.14,0.59,0.24,,0.08,,1,0.1,0.03,0.01,0.48,0.86,0.76,1,,,1,0.04,0.06,1,0.01,0.07,0.42,0.52,0.39,,,,0.07,0.1,0.19,,,0.11,,,0.04,0.25,0.24,0.12,,0.05
uoa36,North,Refugees,0.43,1.22,0.25,0.18,0.1,1.99,,,,,,,43.99,34.37,26.91,0.16,,,4.07,0.44,,3,0.22,0,,,,,94.3,,0.63,0.46,0.5,0.41,2,0.08,0.1,0.07,0.09,0.14,0.11,,,,0.27,0.08,1,0.09,,,,,0.25,0.14,0.05,31.86,0.12,,,0.24,,,,,0.57,0.7,0.76,,,0.12,0.05,0.09,,,,0.14,,,,12.82,4,9,7.53,0.7,0.27,0.11,0.07,0.06,0.05,0.33,7,0.15,,,0.25,,0.28,0.14,,,,,,0.73,12.75,15.05,,1,,,,,,326.81,380.52,0.23,,61.33,0.2,0,0.2,0.11,,0.28,22.31,0,,,0.45,0.2,0.39,,,6.96,1,,0.18,11.48,,,,,,0.08,0.11,0.11,0.14,0.16,,,0.78,0.1,0.66,8971.57,133621.96,14.23,0.74,,2.9,0.73,,7.66,33.78,,,0.59,0.24,0.07,0.16,,1,0.08,0.03,0.01,0.4,1,0.9,1,0.89,,1,0.03,0.1,1,,,0.49,0.43,0.36,,,,0.1,0.18,0.14,,,,,,0.06,0.1,0.31,0.05,,0.94
uoa37,South,Refugees,0.43,0.49,0.25,0.16,0.09,0.81,0.14,,,,,,50.05,69.09,31.76,,0.16,0.11,4.86,0.4,,6,0.15,,,,,,33.11,,,0.58,0.42,0.39,2,0.13,0.07,0.06,0.21,0.13,0.13,,,0.11,,0.04,0,,,,,,0.25,0.05,0.12,29.33,,57.1,0.08,0.26,0.25,,,,0.7,0.76,0.79,,,0.05,0.06,0.1,,,,,,,,13.26,5,8,,0.74,0.28,,0.11,0.03,0.12,0.2,6.1,0.11,0.18,,0.29,,0.14,0.28,,,,,,0.78,,15.75,,1,,,,,,324.12,452.17,0.49,0.06,34.95,0.21,1,,0.2,,0.09,,0,,0.62,0.55,0.15,,,,6.45,1,0.01,0.12,21.91,,,,,,,0.14,0.11,0.21,0.16,,,,0.09,0.11,3854.13,63621.5,19.02,,,1.49,0.67,,7.61,36.17,,,0.62,,,0.1,,0,,0.02,0.01,0.45,0.88,0.89,,,,1,0.03,0.1,1,0.02,0.08,0.44,0.53,0.35,,,,0.12,0.2,0.24,,,,,1,0.06,0.16,0.3,0.12,,0.67
uoa38,East,Refugees,0.37,1.06,0.45,0.04,0.06,0.91,0.16,,,,,,98.76,34.81,10.88,0.18,,0.1,5.78,0.45,,3,0.18,1,,,,,41.15,0.07,0.91,0.5,0.36,0.47,1,0.09,0.09,0.06,0.28,0.04,0.06,,,,0.25,0.1,0,,,,,,0.14,0.09,0.08,26.55,,,,,,,,,0.78,0.77,0.71,,,0.05,0.07,0.14,,,0.14,0.08,,,,11.76,4,8,,0.67,,,0.08,0.04,0.11,0.13,6.24,0.25,,,0.27,,0.11,0.09,,,,,,0.79,,33.75,,,,,,,,316.29,666.87,0.68,0.07,63.43,,0,0.27,,,0.25,25.48,0,,,0.56,,0.31,,,5.47,1,,0.13,16.05,0.1,0,,,0.07,,0.18,0.11,0.24,0.31,,0.58,,0.12,0.66,8384.27,116021.49,17.58,0.96,,3.29,0.76,,7.46,28.59,0.1,0.19,0.78,,0.09,0.17,,0,,0.01,0.01,0.26,0.86,0.95,0.94,,0.73,1,0.06,0.09,1,,,0.57,0.51,0.31,,,,0.15,0.25,0.35,0.29,0.1,,,,0.05,0.08,0.24,0.17,0.22,0.11
uoa39,North,IDPs,0.6,1.39,0.5,0.03,0.04,2.7,0.21,,0.15,,,,65.57,37.75,21.85,,0.09,0.13,5.76,0.54,,3,0.34,0,,,,,99.06,0.15,,0.55,0.45,0.49,2,0.08,0.13,0.05,0.19,0.05,0.12,,,0.12,0.27,0.09,0,0.05,0.1,,,,0.09,0.11,0.05,48.4,0.14,,0.08,0.15,,,,,0.79,0.67,0.77,,,0.12,0.13,0.13,,,,,,,,12.48,5,8,8.19,0.61,0.22,,0.1,0.06,0.13,0.2,6.48,0.1,,,,,0.22,0.25,,,,,,0.89,,,,0,,,,,,211.93,200.33,0.67,0.19,37.23,,1,,,,0.22,15.36,,,,0.6,,,,,6.5,1,0.02,0.25,26.22,0.08,1,,0.09,,,0.33,0.04,0.14,0.14,0.75,0.65,0.6,0.09,0.07,6837.4,143285.59,19.13,0.81,,2.76,0.75,,7.56,38.2,0.12,0.08,0.66,,,0.16,0.07,1,,0.02,0.01,0.44,1,1,,,0.78,1,0.04,0.08,,,0.04,0.51,0.58,0.39,,,,0.08,0.24,0.24,0.28,,,0.23,,0.06,0.08,0.21,0.13,0.26,0.68
uoa40,Centre,IDPs,0.23,0.72,0.46,0.07,0.1,1.86,,0.09,0.11,,,,92.52,24.09,17.6,0.09,,,5.41,0.39,0,3,0.14,0,,,,,56.27,0.13,0.09,0.57,0.44,0.36,2,0.11,0.13,0.05,0.25,0.12,,,,0.07,0.21,0.09,0,0.09,0.06,,,,0.09,0.12,0.1,23.29,0.13,,0.07,0.09,,,,,0.78,0.63,0.61,,,0.06,0.12,0.06,,,0.06,,,,,10.62,4,9,,0.77,,0.07,0.06,0.03,0.07,0.19,6.6,0.26,,0.15,,,0.26,0.27,,0.24,,,,0.76,,34.19,0,,,,,,,335.39,586.4,0.7,0.14,34.2,0.17,0,,0.21,0.1,0.26,,,,,0.48,0.35,,,,5.82,1,,0.23,30.93,0.33,,,,0.05,,0.35,0.08,0.24,0.24,,,,0.09,,3680.96,166647.2,18.13,,,2.35,0.66,,9.36,38.31,,,0.65,,,0.09,0.12,0,,0.02,0.01,0.46,1,0.93,1,0.85,0.99,1,0.04,0.07,,,,0.51,0.54,0.37,,,,0.17,0.33,0.3,,,,0.18,,0.12,0.18,0.18,0.12,,0.91
uoa41,Centre,IDPs,0.49,1.2,0.53,0.02,0.1,1.66,,,0.19,,,,88.68,40.79,14.14,,,,5.8,0.46,,4,0.1,,,,,,92.75,,,0.58,0.48,0.43,2,0.11,0.09,0.03,0.11,0.13,,,,0.04,0.13,0.07,1,,0.07,,,,0.09,0.11,0.09,57.4,0.1,40.62,,,,,,,0.74,0.76,0.64,,,0.09,0.09,0.09,,,,,,,,10.61,6,9,,0.73,0.15,,0.08,0.05,0.06,0.29,7,0.28,,,,,0.16,0.08,0.33,,,,,0.93,,13.45,,1,,,,,,146.53,554.76,0.66,,34.87,0.08,0,0.32,0.09,,0.13,14.56,,,,0.52,0.2,,,,5.81,1,0.02,0.12,17.53,,1,,,,0.13,0.24,0.11,0.2,0.33,,0.71,,0.12,0.32,5179.32,53882.48,14.61,,0.67,2.61,0.76,,7.5,30.17,,0.14,0.68,,,0.09,,0,0.13,0.02,0.01,0.35,0.98,0.95,,0.84,0.9,1,0.03,0.1,1,0.01,0.06,0.44,0.54,0.32,,,,0.05,0.19,0.15,,,,0.34,,0.05,0.18,0.27,0.1,,0.84
uoa42,Centre,Refugees,0.26,1.3,0.55,0.07,0.1,1.64,0.19,,,,,,87.98,30.13,22.11,,,0.09,5.11,0.69,,5,0.14,0,,,,,87.03,0.08,,0.49,0.47,0.37,1,0.08,0.09,0.05,0.12,0.13,,,,0.13,0.27,0.09,0,0.1,,,,,0.11,0.07,0.1,33.92,,67.15,,0.23,,,,,0.77,0.61,0.62,,,0.08,0.05,0.11,,,0.07,0.13,,,,12.73,5,8,,0.65,0.19,,0.13,0.04,0.07,0.14,6.62,0.23,,,0.31,,0.23,0.11,0.11,,,,,0.97,12.18,34.12,,,,,,,,190.12,606.62,0.62,0.19,28.41,0.13,0,,,,0.13,,,,,0.57,,,,,5.12,1,,0.1,21.48,0.54,,,,,,0.16,0.11,0.23,0.12,0.78,,,0.1,,10224.49,111324.84,14.03,,,1.14,0.58,0.24,9.85,36.66,0.12,,0.65,,,0.14,,0,0.1,0.03,0.01,0.37,0.9,0.75,1,0.85,0.73,1,0.03,0.08,1,,,0.49,0.48,0.32,,,,0.1,0.15,0.2,0.15,0.2,,0.26,,0.12,0.13,0.23,0.11,0.22,0.76
uoa43,North,Refugees,0.51,0.5,0.29,0.16,0.23,7.35,0.44,0.89,0.51,,,,365.57,160.98,82.73,0.68,0.43,0.39,19.87,2,1,19,0.98,1,,,,,224.77,0.55,,0.47,0.4,0.39,2,0.08,0.07,0.05,0.23,0.05,0.12,,,0.07,,0.08,1,0.09,0.1,,,,0.25,0.05,0.13,67.74,0.12,,0.1,,0.16,,,,0.78,0.76,0.71,,,0.09,0.1,0.08,,,,0.05,0.23,,,10.94,5,9,,0.74,,0.12,0.12,0.03,0.06,0.13,7,0.08,0.16,0.13,0.15,,0.23,0.09,0.26,0.24,,,,0.9,12.25,,1,,,,,,,181.31,582.2,0.59,0.19,55.99,,1,0.18,,0.07,0.17,,,,0.24,0.5,,,,,6.13,1,0.01,0.22,20.73,,,,,0.07,,0.33,0.05,0.2,0.22,,,,0.07,,6572.39,72187.03,14.95,,,2.5,0.61,,7.35,31.07,,,0.59,,,0.16,0.13,1,,0.03,0.01,0.2,1,0.92,1,,0.84,1,0.05,0.1,,,,0.44,0.59,0.28,,,,0.15,0.3,0.17,,0.13,0.12,,,0.08,0.14,0.14,0.06,,0.55
uoa44,Centre,Hosts,0.69,0.61,0.21,0.16,0.24,6.79,0.58,0.77,0.45,,,,284.64,167.97,89,0.58,0.43,0.38,18.49,1.75,1,18,0.95,1,,,,,299.45,0.44,,0.55,0.42,0.4,2,0.09,0.08,0.06,0.09,0.13,,,,,,0.07,1,0.1,,,,,0.14,0.1,0.07,54.89,,62.73,,0.16,,,,,0.61,0.68,0.68,,,0.08,0.08,0.08,,,0.07,0.04,0.1,,,14.94,5,8,,0.78,0.16,0.08,0.09,0.07,0.1,0.24,6.49,0.26,,,,,0.1,0.09,,,,,,0.9,,,,,,,,,,247.81,470.29,0.6,,66,,1,,,0.11,0.19,,1,,,0.48,,,,,5.96,1,,0.25,11.72,0.02,1,,0.11,,,0.18,0.1,0.14,0.24,,0.63,,0.08,0.67,7679.65,172548.51,17.93,,,3.13,0.65,0.21,8.89,39.25,,0.15,0.71,,0.06,0.11,0.04,1,,0.02,0.01,0.37,1,0.71,0.97,,0.93,1,0.05,0.04,,,0.1,0.45,0.43,0.3,,,,0.15,0.19,0.21,,0.3,,,,0.11,0.13,0.31,0.08,,0.94
uoa45,North,Hosts,0.55,0.47,0.29,0.19,0.22,7.3,0.43,0.67,0.43,,,,393.88,199.2,92.42,0.58,0.55,0.3,14.69,1.72,1,20,0.81,1,,,,,226.47,0.58,0.4,0.42,0.44,0.48,1,0.13,0.05,0.02,0.15,0.11,0.1,,,0.1,,0.13,1,0.13,,,,,0.22,0.08,0.05,48.07,,66.37,,,0.08,,,,0.78,0.71,0.63,,,0.08,0.11,0.05,,,0.06,,,,,11.24,5,9,,0.73,,0.11,0.11,0.03,0.1,0.2,6.32,0.2,0.13,,0.19,,0.27,0.26,0.32,,,,,0.96,,16.44,,,,,,,,232.88,678.29,0.43,0.15,23.03,,0,,,0.05,0.09,,,,,0.53,,0.65,,,6.81,1,,0.12,13.34,,,,,0.06,,0.32,0.07,0.2,0.2,,,,0.12,,10387.38,172873.1,14.4,0.85,0.76,3.5,0.61,0.12,9.06,28.88,,,0.77,,0.13,0.16,,1,,0.02,0.01,0.15,1,0.91,,0.83,,1,0.04,0.06,,,0.06,0.54,0.59,0.34,,,,0.08,0.15,0.33,,0.23,,0.3,1,0.11,0.18,0.3,0.13,0.29,0.6
uoa46,East,Hosts,0.65,1.01,0.25,0.19,0.25,7.4,0.5,0.87,0.46,,,,320.91,144.09,74.87,0.69,0.56,0.29,15.67,1.5,1,18,0.88,1,,,,,217.69,0.52,0.51,0.58,0.49,0.49,1,0.06,0.08,0.04,0.17,0.07,0.08,,,0.11,,0.07,1,0.13,0.07,,,,0.15,0.1,0.05,59.01,0.04,,,,,,,,0.71,0.61,0.75,,,0.12,0.08,0.09,,,0.1,,0.13,,,10.81,6,8,,0.73,,,0.12,0.03,0.07,0.25,6.75,0.1,,0.24,,,0.26,0.09,0.27,,,,,0.98,,,1,1,,,,,,105.48,341.49,0.61,,33.88,,0,,0.2,0.05,0.23,15.27,,,0.68,0.58,,0.53,,,5.35,1,,0.24,11.27,0.91,0,,,,,0.13,0.08,0.23,0.2,0.76,,,0.14,,7394.13,102028.96,15.39,0.76,,2.98,0.65,,8.95,36.84,,,0.72,0.1,,0.15,,1,0.1,0.01,0.01,0.28,1,0.71,,,0.75,1,0.04,0.07,,,0.04,0.42,0.6,0.34,,,,0.09,0.29,0.12,,,0.07,,,0.13,0.17,0.13,0.15,,0.41
uoa47,West,Refugees,0.53,0.98,0.27,0.19,0.25,7.1,0.48,0.71,0.55,,,,379.45,199.35,80.6,0.56,0.53,0.36,15.86,1.77,1,19,0.97,1,,,,,241.5,0.42,0.05,0.55,0.5,0.4,2,0.09,0.07,0.05,0.11,0.05,0.07,,,0.05,,0.07,0,,,,,,0.17,0.05,0.06,25.24,,,0.12,0.14,,,,,0.71,0.7,0.65,,,0.12,0.11,0.09,,,0.05,,,,,13.29,6,10,,0.63,,0.13,0.12,0.04,0.11,0.21,6.48,0.14,,,0.24,,0.21,0.27,0.26,,,,,0.75,18.79,,,,,,,,,127.13,541.72,0.25,0.21,37.66,0.08,0,0.19,,,0.13,,,,,0.51,,,,,5.18,1,,0.31,20.13,,,,0.16,,0.04,0.35,0.12,0.15,0.24,0.71,,,0.09,,9746.03,149150.46,17.89,0.97,0.77,1.53,0.68,0.22,9.76,32.97,,,0.57,0.2,,0.14,,0,0.1,0.03,0.01,0.31,0.93,1,0.97,0.89,0.82,1,0.03,0.05,,,,0.46,0.59,0.38,,,,0.14,0.31,0.27,0.34,,0.17,0.34,,0.1,0.16,0.17,0.16,,0.73
uoa48,North,Hosts,1.98,3.38,0.03,0.06,0.09,2.46,0.06,,,,,,61.25,51.67,25.38,0.16,,,4.18,0.36,0,4,0.29,0,,,,,103.84,,0.59,0.46,0.48,0.49,1,0.07,0.06,0.07,0.2,0.11,,,,0.08,0.11,0.09,0,0.1,0.08,,,,0.19,0.14,0.06,40.52,,,,0.19,,,,,0.73,0.64,0.62,,,0.06,0.05,0.09,,,,0.13,,,,12.95,5,9,8.22,0.56,0.11,,0.13,0.05,0.06,0.17,7,0.27,,,0.26,,0.13,0.16,0.15,,,,,0.84,,11.97,,,,,,,,331.63,250.21,0.44,0.08,33.81,,1,,,,0.26,,,,0.77,0.53,0.15,0.63,,,5.46,0.99,0.03,0.24,10.62,0.17,,,,0.12,0.1,0.21,0.05,0.18,0.15,0.7,,,0.11,0.68,7880.13,133318.21,15.26,0.87,,2,0.63,,8.3,32.98,0.23,0.1,0.6,0.27,,0.06,0.07,0,,0.01,0.01,0.4,0.94,0.8,,0.99,,1,0.02,0.04,1,,,0.47,0.49,0.31,,,,0.12,0.12,0.33,,0.35,0.06,,,0.06,0.19,0.13,0.16,0.34,0.37
uoa49,Centre,Hosts,1.76,3.33,0.1,0.02,0.1,0.95,,0.1,,,,,52.82,27.69,18.08,,0.12,,6.27,0.57,1,2,0.13,,,,,,70.31,,0.73,0.44,0.49,0.41,2,0.11,0.1,0.07,0.21,0.08,,,,,,0.13,1,0.12,,,,,0.18,0.12,0.06,54,,,,,0.19,,,,0.57,0.77,0.8,,,0.13,0.07,0.04,,,0.1,,,,,12.08,6,8,9.48,0.56,0.2,,0.05,0.05,0.1,0.12,6.14,0.25,0.18,0.2,,,0.21,0.11,0.16,0.3,,,,0.82,,11.52,0,1,,,,,,145.53,645.03,0.39,,27.45,0.16,1,,,,0.2,,,,0.61,0.48,,0.61,,,6.95,1,,0.29,19.68,,0,,0.09,,0.11,0.19,0.11,0.14,0.11,0.6,,0.56,0.05,,8302.66,163167.39,19.3,,0.64,1.03,0.75,,7.84,34.61,0.27,,0.66,,,0.16,0.11,0,0.05,0.03,0.01,0.38,0.96,0.76,1,,,1,0.03,0.08,,0.01,,0.47,0.43,0.29,,,,0.06,0.19,0.31,,0.27,0.12,0.16,0,0.06,0.08,0.29,0.09,0.32,0.32
uoa50,Centre,Refugees,1.46,3.59,0.05,0.04,0.04,2.45,0.11,,,,,,136.05,36.23,29.74,,,0.07,3.48,0.22,,5,0.23,,,,,,89.89,,,0.44,0.38,0.37,2,0.13,0.07,0.03,0.26,0.06,0.08,,,,,0.08,1,,,,,,0.16,0.12,0.09,49.53,,,,0.14,0.21,,,,0.59,0.56,0.8,,,0.06,0.1,0.1,,,,,,,,14.33,4,9,,0.68,0.19,0.05,0.06,0.06,0.12,0.19,6.26,0.09,,,0.2,,0.14,0.23,,0.3,,,,0.96,,,1,0,,,,,,221.82,398.78,0.4,,57.55,,1,,,,0.19,,0,,,0.5,0.32,,,,4.92,1,,0.29,21.39,,0,,0.08,0.07,,0.2,0.05,0.3,0.21,,0.68,,0.06,0.06,7948.93,144290.3,18.32,,,1.84,0.71,,8.84,33.32,0.15,,0.67,,,0.08,0.08,1,,0.02,0.01,0.29,1,0.87,,,,1,0.05,0.09,,,,0.58,0.43,0.37,,,,0.06,0.22,0.31,0.27,,,0.2,0,0.12,0.24,0.23,0.1,,0.61
