uoa,filter1,filter2,MET065,MET066,MET067,MET080,MET081,MET070,MET049,MET050,MET053,MET054,MET073,MET074,MET056,MET057,MET058,MET060,MET061,MET062,MET064,MET075,MET076,MET078,MET034,MET035,MET036,MET037,MET038,MET039,MET040,MET042,MET043,MET045,MET033,MET082,MET083,MET084,MET085,MET086,MET087,MET088,MET116,MET118,MET119,MET120,MET121,MET122,MET123,MET125,MET124,MET102,MET103,MET104,MET105,MET106,MET107,MET108,MET109,MET110,MET111,MET112,MET113,MET114,MET115,MET092,MET094,MET096,MET099,MET100,MET101,MET137,MET127,MET128,MET129,MET130,MET132,MET135,MET133,MET136,MET134,MET160,MET161,MET162,MET163,MET165,MET166,MET156,MET158,MET159,MET142,MET143,MET144,MET145,MET146,MET147,MET148,MET138,MET139,MET140,MET141,MET187,MET188,MET189,MET190,MET191,MET192,MET193,MET194,MET195,MET204,MET205,MET206,MET196,MET197,MET198,MET199,MET200,MET201,MET202,MET167,MET168,MET169,MET170,MET171,MET173,MET174,MET175,MET176,MET177,MET178,MET180,MET182,MET183,MET184,MET185,MET186,MET028,MET029,MET018,MET019,MET020,MET021,MET022,MET023,MET024,MET025,MET026,MET027,MET012,MET013,MET014,MET015,MET016,MET017,MET003,MET004,MET005,MET006,MET007,MET008,MET009,MET010,MET011,MET001,MET002,MET217,MET218,MET219,MET220,MET214,MET215,MET216,MET207,MET208,MET209,MET210,MET212,MET211,MET213
SS0402,SS04,Hosts,0.5,0.6,0.81,,,,0.27,,,0.8,,,0.87,0.86,,,,,0.46,,,,,0.74,0.14,0.13,0.96,,,,,,0.91,0.75,,0.78,,,0.15,0.59,0.98,-0.49,-3.55,,,,,,,,6.8,0.03,0.33,,,,0.16,0.47,,0.08,,,,,,260,,,0.97,0.54,,2.74,12.2,0.75,8.41,,,,0.84,0.63,,0.6,0.69,,0.84,,,0.42,0.21,,,,,3.19,0.18,0.22,-3.59,0,,0.42,0.92,0.26,0.37,,,0.56,0.88,0.49,,,,,0.05,,0.65,,,,4.73,6.42,,,,,0.85,0.74,3.76,6.14,,0.49,,0.31,,1,0.02,1.14,0.31,,,0,289,,1,,,,,2.87,5.39,7.84,,,,,0.19,0.63,,,-0.08,,,,6.43,1.95,0.3,0.69,,0.52,,,0.18,0.76,0.76,0.64,0.57,,0.89,0.1
SS0403,SS04,Hosts,,0.46,,,,,0.78,422,,,,,0.84,0.45,,-2.91,,0.92,,,,,4,0.16,0.93,,,0.74,0.13,,,,0.9,0.58,0.88,0.4,,,0.63,,0.87,-4.09,5.07,0,1,,,,,0.88,0.1,,,,0.12,,0.7,0.91,,,,,,0.11,,148,0.72,0.26,0.53,,2.46,,,,,0.73,1,,,0.59,0.45,,0.37,,,,0.86,,,,-1.14,,,7.05,0.94,0.12,,0,,0.81,0.18,0.06,,,,0.76,0.88,,,,,0.84,0.15,,,,0.23,,,3.13,5.25,,,,,,,0.29,,0.84,,0.16,0.68,0,,,,7.14,,,,3.06,,,,,,4.98,,2.22,,,,0.37,0.68,0.41,,,,,,,1.54,,,0.52,,0.78,0,0.51,,0.27,,0.48,0.89,,,
SS0404,SS04,IDPs,,0.89,0.35,,,,0.18,386,0.29,0.48,,,,0.9,3.67,2.72,,,,,,,2,0.37,0.3,0.38,0.67,0.26,,,,0.92,0.33,0.57,0.77,0.07,,,,,,,,0,,,,,,0.52,4.5,0.4,0.09,,0.86,,,,,,,,,2.37,239,384,0.57,,,0.02,3.97,,,,6.8,0.73,1,,,0.75,0.87,0.89,0.08,,0.22,,,0.68,,,4.77,,,1.37,0.55,0.34,,0,,,,,0.43,,,0.83,,,,,,,0.58,0.24,0.23,,,0.68,5.9,,5.45,0.09,,,,,4.88,6.41,,0.05,,,0.19,1,,,,0.77,7.97,,388,7.43,,,,,,1.6,4.42,,,0.76,,0.75,,0.57,,,,,,,2.64,5.67,,,0.03,0.66,0,,,,,0.03,0.05,,,0.59
SS0405,SS04,IDPs,0.51,0.12,0.29,,,,0.12,,0.4,,,,0.46,0.18,5.32,,0.8,0.31,,,,,3,0.77,,0.07,0.71,,,,,,,0.3,,0.85,,,,0.71,0.37,6.51,,1,,,,,,,4.5,,0.4,0.92,,,0.12,0.11,0.97,0.17,,,,2.72,170,363,0.49,,,,,,7.7,,,,1,0.66,,0.02,,,0.56,0.62,,,,,0.88,,,,,7.29,0.87,0.49,5.35,,,0.87,0.06,0.58,,,,0.14,0.93,,,,,0.26,,0.35,0.62,0.4,0.17,0.49,5.8,7.6,,,,2.12,,,7.63,7.55,,0.39,0.85,,,1,,0.04,,,,1,230,5.07,,,,,,3.08,3.76,2.53,0.17,,,0.29,,,3.88,7.82,,,,,2.67,7.9,0.66,0.03,,0.18,,0.13,0.15,0.56,,0.41,,,,0.57
SS0406,SS04,Refugees,,0.27,0.14,,,,0.91,471,,,,,0.69,0.41,-1.48,1.57,,,0.27,,,,5,0.69,0.64,0.38,0.21,0.48,,,,0.1,,,,0.48,,,0.13,0.58,,,,,,,,,,,2.7,,,0.22,0.84,,0.05,0.74,,0.1,,,,5.01,,395,0.63,,0.32,0.37,5.49,5.46,16.4,,-1.85,0.56,1,0.53,,0.27,,0.09,0.09,,,,0.32,0.11,,-3.63,,,,2.57,0.16,,,,,0.09,0.64,,,0.39,0.54,0.89,,0.96,,,,0.1,,,0.56,0.87,0.96,0.89,4.87,7.87,7.44,0.44,0.08,1.03,0.33,,3.47,6.84,,0.77,0.14,0.54,,0,0.89,6.65,,7.67,2.84,,366,,,,,,,6.61,,6.11,0.67,,,0.87,0.56,0.88,,,-4.59,,,,5.12,5.1,0.88,0.21,,0.35,0,0.57,0.1,0.82,0.77,0.39,,,0.02,0.22
SS0407,SS04,Refugees,0.54,0.08,0.21,,,,0.96,445,0.72,0.4,,,0.72,0.93,,,,,0.61,,,,3,0.81,,,0.74,0.55,0.76,,,0.23,0.28,,0.73,0.05,,,0.18,,0.04,3.33,,,,,,,,0.12,0.2,,,0.55,0.95,,,0.52,,,,,,5.92,54,350,,,0.21,0.91,3.24,1.03,23.3,0.41,,0.09,1,0.81,,0.67,0.58,0.25,0.09,0.03,,,0.09,,0.83,,4.84,,,2.59,0.81,0.34,,,,,0.78,,,0.29,0.06,0.51,0.73,,,,,,0.11,0.16,0.92,0.25,,0.1,7.58,3.5,,,,6.47,0.59,,,1.61,0.2,0.16,0.98,0.63,,,,6.81,0.53,4.16,2.75,1,370,,1,,,,,6.09,0.63,2.27,,,0.77,,0.79,0.93,-2.83,,0.93,,,,6.01,,,0.72,,0.54,1,0.45,0.86,0.03,,0.74,,,0.75,0.15
SS0408,SS04,Hosts,0.81,0.11,,,,,0.7,250,,0.09,,,0.65,,,,,0.63,,,,,3,0.37,,0.8,,0.11,,,,,0.36,0.44,,0.79,,,,,0.63,,,,,,,,,,5,0.46,,0.67,,,,0.39,0.21,,,,,,195,308,0.68,,0.16,0.15,7.42,5.96,,,-1.89,,0,,,0.84,0.48,0.54,,,0.26,,,,0.5,,,,,,,0.3,2.75,0,,,,,,0.24,,0.51,0.97,0.47,,,,0.88,,,0.34,,,,,7.54,3.72,,,1.08,,0.14,2.9,,0.17,0.59,0.9,,,,,2.36,,5.77,7.68,,,,,,,,,,,1.37,,,,,0.57,0.73,1.92,7.4,-0.24,,,,,7.26,,,,,1,,0.03,,0.13,0.79,,,0.87,
SS0501,SS05,Refugees,0.33,,0.55,,,,0.83,206,,,,,,,3.1,0.88,0.62,,,,,,5,0.11,0.04,0.72,,,,,,,0.16,,0.57,,,,,,0.79,,,0,,,,,,0.52,,,0.97,,0.66,,,,,,,,,4.26,,,0.62,,,0.31,4.4,7.64,3.3,,,,1,0.61,,0.08,0.72,,,,,,,0.81,0.08,,,,,3.73,,0.3,,0,,0.87,0.14,,,0.5,,,0.35,0.48,,,,0.56,0.87,0.52,,,0.14,0.35,1.24,1.61,7.33,0.1,0.64,,,,2.47,5.19,,0.32,0.96,0.6,,1,0.08,0.57,0.06,1.35,7.27,1,317,,,,,,,2.13,,,0.2,0.47,0.25,0.6,,0.94,7.24,,,,,,3.92,4.83,0.36,0.94,,0.7,,0.93,0.87,0.57,,0.59,,,0.49,
SS0502,SS05,IDPs,0.95,0.39,,,,,0.62,,0.78,,,,0.92,0.29,4.73,,0.09,,0.88,,,,,0.76,0.07,0.4,0.37,0.75,,,,,,,0.65,0.13,,,0.06,,0.13,9.43,6.26,,1,,,,,0.22,,,,,0.54,,0.81,0.53,,0.12,,,,7.37,281,111,0.81,0.75,,,,,11.5,0.17,,0.26,0,,0.07,0.35,0.59,0.74,0.3,,,,0.03,,0.59,,8.54,,,7.12,0.98,0.7,-2.14,0,,,,0.83,,,0.16,,0.84,,,,,0.73,0.44,,,0.24,0.53,,,3.05,3.49,,0.89,,0.79,0.41,,,0.69,0.46,,,0.84,,0.76,6.88,,2.43,1.33,1,183,7.72,,,,,,,0.48,6.41,0.78,,0.04,,,0.73,6.6,,,,,,2.08,5.62,,0.47,0.66,,,0.8,,,,0.93,,,,0.52
SS0503,SS05,IDPs,0.04,,0.84,,,,0.58,413,,,,,0.43,,2.38,4.76,,,,,,,,0.08,0.88,0.56,0.62,0.73,0.82,,,,0.98,0.33,0.77,0.09,,,,,0.27,7.99,,0,0,,,,,0.66,,0.55,,0.94,,,0.82,0.91,0.58,,,,,6.72,,402,,,,,,7.47,,,7.9,,0,,,,0.07,0.64,,,0.13,,0.65,0.06,,,-0.68,,,3.42,0.97,,,,,0.63,0.13,0.58,,0.71,,,0.24,,,,,,,,0.15,0.69,,,1.32,0.43,0.2,,,3.85,0.16,0.47,7.35,,0.04,0.27,,,,1,,5.86,0.66,0.87,7.44,1,,3.57,1,,,,,7.68,3.84,7.47,,,,,,0.68,,,,,,,3.29,6.34,0.19,0.48,,,,,,0.97,0.92,0.95,,,0.15,0.71
SS0504,SS05,Refugees,0.42,0.63,0.08,,,,,269,,0.66,,,,,,3.5,,0.29,0.19,,,,,0.71,0.15,,0.23,,0.6,,,0.43,0.95,,,0.22,,,0.09,0.17,0.29,-0.57,,,0,,,,,0.75,2.6,0.03,,,,,0.38,0.12,,,,,,,449,430,0.52,,,0.7,3.36,1.77,21.7,,7.56,0.67,,0.74,,0.95,0.45,,,,0.25,,0.03,0.57,0.14,6.82,-0.32,,,,0.82,0.45,,1,,0.49,0.64,,0.11,,,,0.44,0.3,,,,,0.37,,0.71,0.27,,,5.87,6.44,0.5,,,,,0.79,,,0.65,0.55,0.84,0.15,,1,,0.31,,,0.85,,,6.05,,,,,,0.71,0.58,4.92,,0.26,0.96,0.29,0.65,0.32,,,0.41,,,,0.59,2.99,,,,0.49,1,0.58,0.3,,,0.43,,,0.79,
SS0505,SS05,IDPs,0.68,,0.17,,,,0.66,96,,,,,,0.35,,4.57,,,0.45,,,,,,0.17,,0.28,0.56,0.25,,,,0.55,0.66,0.32,0.17,,,0.19,0.26,,-2.32,-4.09,,,,,,,0.19,0.9,0.91,,,,,0.06,0.68,0.33,,,,,,,,0.14,0.1,0.49,0.13,3.96,6.67,1.5,0.16,9.18,,,0.55,,0.09,,0.86,0.06,0.21,,,,,0.1,1.91,,,,0.03,,,8.42,1,,0.6,0.03,0.36,,,0.15,,0.25,0.34,,,,0.15,0.15,,,0.46,,,0.61,,0.26,0.89,,3.86,0.5,,4.89,5.88,,0.81,,0.76,0.43,0,,,,1.18,1.41,1,68,3.21,,,,,,2.78,,2.87,,0.53,0.22,0.79,,0.69,,,8.05,,,,,5.27,0.66,0.91,,,,,0.36,,0.97,,,,,0.69
SS0601,SS06,IDPs,,0.93,0.55,,,,0.03,,,0.39,,,0.03,0.13,3.8,,,,,,,,1,0.47,0.74,0.52,,0.41,,,,,0.47,0.75,0.26,0.66,,,,,,,1.48,,,,,,,0.48,3.1,0.74,0.74,,,,0.75,,,,,,,7.81,437,,0.91,,0.7,,4.18,2.89,,0.61,,,0,,,0.55,0.77,0.03,,,,,0.92,,0.81,,6.85,,,6.74,,,-1.57,,,,0.9,0.8,,,0.84,0.91,,0.54,,,,,0.45,0.87,0.54,0.1,,,5.45,7.02,2.43,,0.11,,0.67,,,7.46,,0.35,,,,1,,7.63,,3.73,4.63,0,314,,1,,,,,1.66,,6.8,,,0.08,0.63,,,,,4.53,,,,,,0.71,,0.73,0.34,,,,,,,,,0.26,
SS0602,SS06,Hosts,,0.58,0.35,,,,0.55,288,,0.68,,,0.35,,,,,,,,,,,0.57,0.14,0.37,0.56,0.15,,,,0.38,0.27,0.41,,0.32,,,0.1,0.74,0.52,4.86,-1.77,0,,,,,,0.52,,,,,0.61,,0.21,0.44,0.29,0.54,,,,,474,247,0.8,,0.72,,,6.11,21.4,0.82,6.19,,0,0.54,0.96,,0.36,,0.92,,0.76,,,0.24,0.38,-3.26,4.71,,,5.42,0.25,0.79,-1.04,1,,0.08,0.76,0.73,,,,,,,,,,0.09,0.68,0.95,,,,,,5.33,2.47,0.71,,3.09,0.16,0.28,5.37,1.31,,0.45,0.2,0.71,,0,,,,3.31,,,288,4.15,1,,,,,2.34,1.09,7.89,,0.74,,0.51,0.31,0.47,0.91,,-0.79,,,,2.06,,0.35,0.88,,0.89,0,0.33,0.73,0.92,0.05,,0.56,0.49,,
SS0603,SS06,Refugees,0.15,,0.2,,,,,,0.03,,,,,0.44,3.67,2.48,0.23,,,,,,3,0.26,0.62,0.53,0.05,0.81,,,,0.09,0.7,,,0.07,,,0.26,,0.06,,4.95,,1,,,,,0.88,2.9,0.34,,,0.78,,0.28,0.3,,0.64,,,,0.44,,38,0.96,,0.48,,7.22,4.45,16.9,,7.38,,0,0.88,,0.55,0.16,0.9,0.6,,0.39,,,,0.23,9.23,-0.51,,,,0.39,0.75,5.81,1,,,0.86,0.36,0.62,,,0.54,0.25,,,,,0.8,0.37,0.27,0.56,0.37,0.93,,4.89,0.73,,,,0.46,,,,,0.91,0.16,0.92,0.25,0.74,0,0.5,5.93,,7.78,4.02,,451,,0,,,,,3.74,7.91,5.58,,0.56,,0.44,0.16,0.8,-1.26,,8,,,,4.11,7.98,,,,0.94,,0.14,0.91,0.5,,0.09,0.81,,,
SS0604,SS06,IDPs,0.35,0.9,0.74,,,,,,,,,,,0.52,0.8,,,,,,,,,0.78,0.66,0.69,0.38,0.36,,,,0.11,0.36,,0.88,0.17,,,,0.63,,,1.41,1,0,,,,,,1,0.82,,,,,0.66,0.36,,,,,,,143,380,0.26,0.93,0.78,0.54,3.08,3.22,2.3,0.66,,,0,,,0.1,,,,0.54,,,0.57,,0.35,-0.04,1.43,,,3.58,,,,,,,,0.46,0.12,,0.58,0.32,0.42,0.58,,,,,0.45,0.2,,0.87,0.19,,0.88,0.2,4.93,,0.51,3.85,0.22,,,1.35,,0.22,,0.16,0.39,,,1.29,,,,,,7.38,,,,,,3.87,,7.97,0.88,,,,,0.97,,,4.63,,,,3.56,0.84,,0.12,,0.53,,,0.55,0.62,0.48,0.58,0.68,,,0.88
SS0605,SS06,IDPs,,0.95,0.76,,,,0.81,,,,,,0.96,0.95,6.48,,,0.72,,,,,5,,0.87,0.47,0.49,0.56,,,,,,,0.15,,,,,,,0.56,2.07,0,,,,,,0.72,2.4,0.64,,0.96,0.85,,0.75,,,0.29,,,,7.07,224,264,0.17,0.22,0.25,0.08,2.74,4.83,,,9.73,,1,0.74,,,0.5,0.95,0.97,,0.21,,0.37,0.72,0.35,,,,,5.42,0.24,,,,,0.51,,,,,0.69,,,0.93,,,,0.47,,0.52,0.51,0.52,0.31,0.4,4.65,,6.24,,,6.15,,,0.28,,,,0.5,,,,,3.54,0.85,,7.25,1,,1.3,,,,,,1.16,5.87,7.55,,0.46,,,0.88,,,9.26,,,,,7.24,,,,,,1,0.62,,0.71,,,0.91,,,0.22
SS0606,SS06,IDPs,0.07,0.46,0.13,,,,0.81,322,,0.42,,,0.77,0.59,-1.04,,0.31,,,,,,,0.73,0.78,0.18,0.36,,,,,,,0.54,0.16,0.39,,,0.12,,0.28,9.63,,,,,,,,0.29,,,,,0.38,,0.24,0.34,0.46,,,,,4.22,219,,0.95,,0.21,,0.31,,12,,5.7,,1,,,,,0.76,0.97,,,,,0.75,,,,,,3.33,,0.1,8.96,1,,0.2,0.28,0.51,0.44,0.27,0.36,0.88,0.52,0.75,,,,0.31,0.85,0.32,0.39,0.45,,0.88,,5.05,5.22,,0.66,3.34,0.77,,,2.58,0.69,,,0.12,0.76,1,0.96,,,6.69,,0,,5.83,,,,,,2.86,1.07,,,0.23,,0.5,0.51,,,,0.91,,,,,0.7,,0.33,,0.46,1,0.35,,0.32,0.51,,0.59,0.91,,
SS0607,SS06,Refugees,,0.74,0.02,,,,,463,,,,,,0.57,,,,,,,,,3,0.03,0.27,,0.44,0.31,0.08,,,0.57,,0.42,0.34,0.73,,,0.26,0.84,,,8.25,,0,,,,,0.85,,0.93,,,0.62,,0.84,,0.63,0.8,,,,2.45,,460,,0.55,0.73,,1.45,1.92,22.9,,1.73,0.26,,,,0.45,0.18,0.24,0.18,,,,0.78,,0.36,,,,,5.54,0.35,0.86,-1.37,,,0.52,0.04,,,,0.96,0.09,,0.61,,,,,,,,0.06,,0.8,6.59,,5.19,0.09,0.93,4.92,0.86,0.92,,,,0.44,,0.71,,0,0.97,6.01,0.27,4.39,,,381,0.62,,,,,,0.79,,3.44,,,,,0.1,,,4.86,2.28,,,,6.76,5.31,,0.53,,0.74,1,,0.57,0.61,0.65,0.78,,0.4,,0.12
SS0608,SS06,Refugees,0.8,0.59,,,,,0.08,,0.82,0.14,,,0.72,0.9,-3.06,,,,0.83,,,,,,0.74,0.74,,,0.35,,,,,0.9,0.3,0.66,,,,,0.13,,,1,1,,,,,0.45,1,,,,,,,,,,,,,2.26,202,,0.88,0.1,0.74,,,6.26,,0.69,-4.12,,1,0.13,,0.32,0.32,0.02,0.8,,0.57,,,,0.15,,0.22,,,2.14,0.48,0.94,6.88,0,,0.6,0.97,0.68,0.48,,0.97,0.46,,0.75,,,,0.94,0.68,,0.67,,,,3.52,7.89,4.92,0.2,0.56,2.41,0.47,0.95,2.73,5.46,0.11,0.65,,,,1,0.12,,,0.13,0.84,,323,7.24,,,,,,6.12,,0.22,,,,0.3,0.15,,,,-0.63,,,,7.57,0.23,0.4,,,,1,0.09,,0.17,,0.49,0.89,0.22,0.15,0.91
SS0609,SS06,Hosts,0.06,0.21,0.84,,,,0.56,463,0.2,0.29,,,0.06,0.81,-3.98,,,,0.61,,,,1,,0.33,,0.22,0.3,,,,0.66,0.55,,,0.06,,,0.96,,0.8,,3.58,,,,,,,0.15,0.8,0.26,,,,,0.52,0.83,,,,,,7.27,145,61,0.79,0.91,,,2.84,,,0.35,1.78,0.2,0,,,,0.91,0.41,,0.77,,,,0.84,0.79,3.99,-3.57,,,1.99,0.65,0.42,5.87,0,,0.81,0.62,0.35,,,0.82,0.07,0.63,,,,,0.1,,,,0.64,,0.71,2.5,,5.77,,,,0.14,,5.72,0.15,0.76,0.52,,0.32,0.06,1,,0.27,,,4.66,1,,1.27,,,,,,6.14,,3.87,0.09,,,0.49,0.97,0.95,,,,,,,2.02,0.71,,0.36,,,,0.31,0.81,,0.47,0.38,,0.65,0.15,0.75
